houghmean,steering_angle
279.1785714,-1.854094193
279.1785714,-1.854094193
279.1785714,-1.854094193
279.1785714,-1.854094193
248.75,-1.854094193
257.6875,-1.851539203
253.2142857,-1.846696784
255.8055556,-1.839780853
239.2916667,-1.830966478
229.21875,-1.820405123
236.4166667,-1.808230532
258.6785714,-1.794562746
255.2857143,-1.779493264
233.9583333,-1.763141789
255.8333333,-1.745600436
257.8928571,-1.726954676
259.35,-1.707284096
263.7,-1.686662923
285.2142857,-1.665160493
274.375,-1.64284164
265.25,-1.61972768
257.0625,-1.595877941
296.25,-1.571347967
278.9583333,-1.546189818
285.75,-1.520452357
283.3333333,-1.49418159
283.25,-1.4674209
270.3333333,-1.440211253
285.25,-1.412591399
293.8,-1.384598048
297.5,-1.356266041
301.375,-1.327628493
295.9,-1.298772232
288.5,-1.269721907
291.375,-1.240501456
299.7857143,-1.211134119
292,-1.181642334
308.6666667,-1.152047776
324.4285714,-1.122371381
320.9583333,-1.195647423
312.3928571,-1.172931995
321.1,-1.149944657
303.85,-1.12669549
325.2,-1.102988552
323.375,-1.078843119
268.9375,-1.046973173
301.55,-1.021951087
321.875,-0.996545024
302.6666667,-0.970773076
308.875,-0.944668014
312.625,-0.918246538
329.3125,-0.891525643
318.75,-0.85696802
328.6,-0.837254875
324.9375,-0.817517387
354,-0.797771455
318.2,-0.778047915
339.875,-0.71814007
333.15,-0.689774213
349.55,-0.661223274
383.85,-0.632492829
362.5,-0.603669926
357.7083333,-0.574713605
355.5,-0.545646063
339.05,-0.51648906
377.7916667,-0.487263971
332.9285714,-0.457991655
345.0714286,-0.428692602
384,-0.399386929
355.75,-0.370094372
378.85,-0.340834281
382.3409091,-0.311625608
363.75,-0.282486905
367.1458333,-0.253436307
348.3928571,-0.22449153
386.8541667,-0.195669856
372.75,-0.175027968
373.9464286,-0.14648019
389.5454545,-0.118100597
405.5178571,-0.089904625
365.6964286,-0.061907247
356.0357143,-0.042180227
394.5,-0.014552526
387.7638889,0.01285117
374.1538462,0.040016333
382.5125,0.058846282
377.0568182,0.085563695
364.275,0.112021069
380.9264706,0.130094357
370.1538462,0.147804781
390.2058824,0.165161697
376,0.199008685
369.35,0.224164783
371.4074074,0.249023521
372.64,0.265487691
357.675,0.28984266
368.1339286,0.305725725
347.1551724,0.329516082
359.3362069,0.352967265
381.9396552,0.367979169
364.7916667,0.390847577
349.1640625,0.405238442
361.25,0.427523305
374.4814815,0.449452958
355.7142857,0.462965713
345.2867647,0.484294117
339.1458333,0.497181911
353.5480769,0.517909473
361.8148148,0.530160217
374.3125,0.550272273
351.2946429,0.561892903
349.2065217,0.58139188
354.5086207,0.600520091
316.6029412,0.611275332
333.7741935,0.629790831
338.8387097,0.639928232
340.2980769,0.64968793
350.6351351,0.667338992
340.92,0.684617496
329.0540541,0.693500833
358.3958333,0.710157837
348.7416667,0.718439371
344.3916667,0.734492288
352.9256757,0.742157022
352.1,0.757591092
348.0984848,0.764644166
369.5833333,0.779462552
360.2155172,0.785908383
365.75,0.800113867
351.765625,0.805956425
359.7631579,0.819551655
365.3602941,0.824794627
363,0.837782208
356.8697917,0.84242909
369.4821429,0.85481166
367.627907,0.858865845
368.0526316,0.870646132
372.787234,0.882044652
362.6836735,0.885291856
362.3586957,0.89609161
371.6830357,0.898755279
374.244898,0.908959479
387.5961538,0.911027305
379.8046875,0.920625372
378.7118644,0.922104475
392.5820896,0.931103092
390.0643939,0.931999935
399.1992754,0.93651049
400.2745902,0.936756227
390.0410448,0.93664432
397.0040323,0.936167002
396.5122951,0.935333093
394.1801471,0.934142683
396.2142857,0.932603918
406.3898305,0.930724285
403.3232759,0.928510743
402.745614,0.925969798
406.4955357,0.92310759
411.4212963,0.919929949
398.5508475,0.916442445
405.3520408,0.912650436
405.4454545,0.908559106
402.5294118,0.904173502
412.5336538,0.899498562
410.5601852,0.894539146
411.35,0.889300057
410.9840426,0.883786064
410.6377551,0.878001917
412.69,0.871952366
410.365,0.865642173
417.7954545,0.859076123
404.0815217,0.852259034
421.1122449,0.845195766
415.8316327,0.837891226
424.18,0.830350374
415.7093023,0.822578228
426.4107143,0.814579867
422.25,0.80636043
418.6585366,0.797925122
417.0174419,0.789279212
438.0595238,0.780428033
416.2115385,0.771376981
423.0182927,0.762131513
426.5897436,0.75269715
413.375,0.743079465
415.1458333,0.73328409
425.671875,0.723316709
392.6034483,0.713183051
394.6612903,0.702888894
405.5288462,0.692440055
390.4479167,0.681842388
391.5,0.67110178
391.7875,0.660224145
400.35,0.649215422
398.9473684,0.638081569
385.6428571,0.626828558
381.75,0.615462369
374.1833333,0.60398899
326.55,0.592414408
336.3611111,0.580744603
377.5416667,0.568985548
360.525,0.557143202
339,0.545223505
353.4772727,0.533232374
370.96875,0.521175697
346.8392857,0.509059331
362.4285714,0.496889098
292.5,0.484670779
301.0277778,0.472410109
317,0.460112776
323.6666667,0.447784417
325.75,0.435430613
349.15,0.423056885
351.05,0.410668693
330.0625,0.398271431
352.5714286,0.385870425
342.5277778,0.373470929
282.375,0.361078126
314.71875,0.348697119
328.1388889,0.336332936
302.4166667,0.323990521
329.7142857,0.311674739
381.0833333,0.299390368
369.75,0.2871421
364.7,0.27493454
323.8571429,0.262772205
322.9,0.250659521
331.3928571,0.238600821
311,0.226600349
281.6,0.214662254
325.95,0.202790592
282.7,0.190989326
306.0416667,0.179262324
284.5,0.167613357
314.875,0.156046106
287.7916667,0.144564152
299.625,0.133170986
352.1875,0.12187
304.1875,0.110664495
292.85,0.099557677
296.45,0.088552658
355.75,0.077675078
304.8125,0.066925148
324.1666667,0.056303335
328.8333333,0.045810321
289.875,0.035425142
297.5,0.025151401
293.0714286,0.014992431
299.4,0.00495133
310.4375,-0.004969023
314.9375,-0.014765894
303.25,-0.024436695
303.95,-0.033978972
261.6666667,-0.043390396
268.5,-0.052668765
268.8125,-0.061811989
272.5,-0.070818091
274.25,-0.079685201
270.5,-0.088411551
269.5833333,-0.096995471
267.3,-0.105435385
272.4,-0.11372981
273.25,-0.121877352
274.25,-0.1298767
273.125,-0.137726629
270.3,-0.145425993
273.0833333,-0.152973723
273.25,-0.160368831
277.875,-0.167610398
279.5,-0.17469758
280.625,-0.181629605
280.5625,-0.188405768
285.4166667,-0.195025433
275.4166667,-0.201488029
285.8333333,-0.207793051
281.25,-0.213940058
279.5,-0.21992867
283.375,-0.225758569
288.0833333,-0.231429499
288,-0.23694126
280.85,-0.242293713
280,-0.247486774
284.5625,-0.252520417
281.0833333,-0.257394671
283.5,-0.26210962
282.0833333,-0.266665401
282.5833333,-0.271062206
286.875,-0.275300278
286.875,-0.279379912
287.875,-0.283301454
281.75,-0.287065301
287.5,-0.290671899
341,-0.294121744
340.1666667,-0.297415379
342.3333333,-0.300553397
340.6666667,-0.303536437
324,-0.306365184
340.9166667,-0.309040371
309.6,-0.311562775
309.6,-0.313933219
321.125,-0.316152569
300.3571429,-0.318221738
313.35,-0.320141678
316.5,-0.321913387
341.3333333,-0.323537903
320.8125,-0.325016308
306.625,-0.326349722
310.2,-0.327539308
306.25,-0.328586266
320.625,-0.329491838
319.15,-0.330257302
309.3,-0.330883976
326,-0.331373215
304.6,-0.331726408
297.3333333,-0.331944984
319.1666667,-0.332030403
314.9375,-0.331984163
331.1666667,-0.331807794
314.375,-0.33150286
312.1071429,-0.331070956
309.15625,-0.33051371
290.375,-0.329832781
296.125,-0.329029857
314.25,-0.328106656
340.125,-0.327064924
308.4583333,-0.325906435
305.8333333,-0.32463299
294.84375,-0.323246416
293.0625,-0.321748565
289.2777778,-0.320141312
293.25,-0.318426557
290.3928571,-0.316606222
289.4642857,-0.31468225
291.8571429,-0.312656606
316.6071429,-0.310531272
319.5,-0.308308252
324.25,-0.305989564
324,-0.303577247
331.45,-0.301073352
312.8214286,-0.298479948
322.875,-0.295799115
321.6388889,-0.293032948
328.4318182,-0.290183553
314.3409091,-0.287253047
342.5277778,-0.284243556
337.3055556,-0.281157217
336.875,-0.277996172
347.8571429,-0.274762573
319.025,-0.271458575
332.125,-0.268086339
333.75,-0.264648031
351,-0.261145818
327.325,-0.25758187
344.4722222,-0.253958357
325.95,-0.250277449
335.5384615,-0.246541317
322.2272727,-0.242752127
308.5227273,-0.238912043
318.5416667,-0.235023227
333.15625,-0.231087832
329.2,-0.22710801
336.75,-0.223085902
331.725,-0.219023645
331.8409091,-0.214923365
327.3333333,-0.21078718
325.6136364,-0.206617196
330.9583333,-0.20241551
331.53125,-0.198184207
337.5,-0.193925357
338.1590909,-0.18964102
333.6136364,-0.185333238
339.3888889,-0.18100404
330.25,-0.17665544
329.21875,-0.172289434
322.4722222,-0.167908001
341.75,-0.163513103
335.5192308,-0.159106682
326.35,-0.154690662
354.125,-0.150266948
334.5208333,-0.145837422
332.859375,-0.141403946
335.25,-0.136968363
342.5357143,-0.13253249
335.4464286,-0.128098124
331.5714286,-0.123667038
346.9038462,-0.119240981
358.75,-0.114821677
